Date,Open,High,Low,Close,Adj Close,Volume
2017-05-17,46120,46640,46100,46340,40904.10156,7424450
2017-05-18,45740,46000,45540,45940,40551.02734,11160350
2017-05-19,45640,45780,44720,44720,39474.13672,15762350
2017-05-22,45040,45380,44760,45100,39809.55859,17643550
2017-05-23,45400,45580,44900,44920,39650.67578,12607050
2017-05-24,44860,45300,44800,44880,39615.37109,8675400
2017-05-25,45160,45680,44800,45680,40321.52734,13044800
2017-05-26,45600,46460,45540,46080,40674.60938,13613650
2017-05-29,46220,46400,45380,45620,40268.57031,8739550
2017-05-30,45520,45660,44480,44640,39403.51953,12433600
2017-05-31,44580,45020,44400,44700,39456.48828,18669100
2017-06-01,44860,44900,44400,44680,39438.83203,9753500
2017-06-02,45060,45960,45000,45960,40568.6875,12488750
2017-06-05,46040,46360,45720,45940,40551.02734,7599400
2017-06-07,46500,46500,45240,45300,39986.10547,13729400
2017-06-08,45000,45580,45000,45160,39862.53516,13978750
2017-06-09,45680,46440,45600,46100,40692.26172,11732850
2017-06-12,45420,45600,45140,45380,40056.71875,10954300
2017-06-13,45140,45620,45140,45400,40074.375,8624900
2017-06-14,45800,46060,45240,45360,40039.0625,10166700
2017-06-15,45680,45920,45180,45680,40321.52734,9657000
2017-06-16,45500,45940,45460,45580,40233.26172,17403450
2017-06-19,45580,46560,45560,46560,41098.30078,11303900
2017-06-20,47240,48140,47220,48140,42492.96484,15045000
2017-06-21,47740,48120,47480,47480,41910.37109,9973650
2017-06-22,47960,48080,47720,47960,42334.07422,11455800
2017-06-23,47600,47780,47420,47620,42033.95703,9515100
2017-06-26,47520,48360,47520,48280,42616.53125,8552800
2017-06-27,48220,48400,47900,48300,42634.1875,9616750
2017-06-28,47600,48000,47560,47700,42104.57031,9572500
2017-06-29,48040,48320,47940,47940,42440.98438,8306550
2017-06-30,47500,47620,47100,47540,42086.86328,11877550
2017-07-03,47500,47780,47120,47220,41803.57031,6805550
2017-07-04,47160,47400,46900,47000,41608.81641,7961000
2017-07-05,46820,47680,46780,47580,42122.27734,10640250
